topicTitle,blockType,blockName,fileName
Дизайн-мышление E-Learning,SCORM,Дизайн-мышление: лонгрид,дизайн-мышление-scorm2004_4-vq6lDv1-.zip
Навыки успешных переговоров E-Learning,SCORM,Основы эффективных переговоров,навыки-успешных-переговоров-scorm2004_4-trRO6Syn.zip
Убедительный метод продаж E-Learning,SCORM,Убедительный метод продаж,Убедительный метод продаж.zip
ON JOB TRAINING (OJT) E-Learning,SCORM,OJT - Обучение на рабочем месте,Territory management. Обучение.zip
Шаги делового визита: LASER E-Learning,SCORM,LASER,LASER e-learning (1).zip
OSA: On-Shelf Availability Management E-learning,SCORM,OSA: On-Shelf Availability Management,OSA_Mars.zip
Digital for Non Digitals E-Learning,SCORM,Digital for Non Digitals e-learning,530001.zip
Основы управления категорией (Category Essentials) X-segment E-Learning,SCORM,Category Essentials e-learning,813065.zip
Insights E-learning,SCORM,Insights e-learning,65001.zip
Mars P&L Finance (Mars Wrigley) E-learning,SCORM,P&L Finance,P&L.zip
TE&ROI Finance (Mars Wrigley) E-learning,SCORM,Торговые инвестиции & ROI,21APR_S&F_TEROI_RU.zip
Trading terms Finance (Mars Wrigley) E-learning,SCORM,Торговые условия,Торговые условия.zip
Программа: Strategic Revenue Managment (SRM). Module 1: Introduction E-learning,SCORM,Introduction E-learning,C10248.zip
Программа: Strategic Revenue Managment (SRM). Module 2: Mix for Growth E-learning,SCORM,Mix for Growth E-learning,C10302.zip
Программа: Strategic Revenue Managment (SRM). Module 3: Strategic Pricing E-learning,SCORM,Strategic Pricing E-learning,C10303.zip
Программа: Strategic Revenue Managment (SRM). Module 4: Trade Promotions Excellence E-learning,SCORM,Trade Promotions Excellence E-learning,C10304.zip
Программа: Strategic Revenue Managment (SRM). Module 5: Trade Terms Management E-learning,SCORM,Trade Terms Management E-learning,C10305.zip
Program: Finance. Module 1: How Customers Make Money E-learning,SCORM,How Customers Make Money E-learning,Mars_FE_BF_How_customers_220923.zip
Program: Finance. Module 2: Profit Margin and Mark-up E-learning,SCORM,Profit Margin and Mark-up E-learning,Mars_FE_BF_Profit_margin_220923.zip
Program: Finance. Module 3: Calculation Challenge E-learning,SCORM,Calculation Challenge E-learning,3p11484_2022_01_25_15_09_38(EN).zip
Program: Finance. Module 4: Listen to The Expert E-learning,SCORM,Listen to The Expert E-learning,4p11485_2022_01_25_15_22_15(EN).zip
Program: Finance. Module 5: Check What You Know E-learning,SCORM,Check What You Know E-learning,5p11408_2018_03_05_11_50_22(EN).zip
